danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track.duration_ms,year,country,performer,song,performance,decade,ID,Region,BroadRegion,Period
0.413,0.371,1,-7.955,0,0.0333,0.965,1.20E-06,0.382,0.295,53.299,4,192306,1956,Belgium,Mony Marc,Le Plus Beau Jour De Ma Vie,1956 Belgium A,1950,0.413 0.371 1 -7.955 0 0.0333 0.965 1.2e-06 0.382 0.295 53.299,Western Europe,Western_Europe_Australia,Early
0.3,0.326,8,-9.214,0,0.0406,0.888,0,0.264,0.281,87.771,4,218373,1956,Belgium,Fud Leclerc,Messieurs Les Noy<e9>s De La Seine,1956 Belgium B,1950,0.3 0.326 8 -9.214 0 0.0406 0.888 0 0.264 0.281 87.771,Western Europe,Western_Europe_Australia,Early
0.462,0.365,8,-9.429,0,0.0877,0.924,0,0.653,0.688,158.144,5,138320,1956,France,France,Math<e9> Alt<e9>ry,1956 France A,1950,0.462 0.365 8 -9.429 0 0.0877 0.924 0 0.653 0.688 158.144,Western Europe,Western_Europe_Australia,Early
0.381,0.313,4,-9.786,1,0.0392,0.98,0.000916,0.251,0.224,105.01,3,164306,1956,France,France,Dany Dauberson,1956 France B,1950,0.381 0.313 4 -9.786 1 0.0392 0.98 0.000916 0.251 0.224 105.01,Western Europe,Western_Europe_Australia,Early
0.703,0.532,5,-11.22,1,0.115,0.598,0,0.262,0.882,97.265,4,129266,1956,Germany,Germany,Freddy Quinn,1956 Germany A,1950,0.703 0.532 5 -11.22 1 0.115 0.598 0 0.262 0.882 97.265,Central Europe,Central_Europe,Early
0.471,0.246,0,-13.405,1,0.11,0.785,0,0.243,0.48,138.946,3,243013,1956,Germany,Germany,Walter Andreas Schwarz,1956 Germany B,1950,0.471 0.246 0 -13.405 1 0.11 0.785 0 0.243 0.48 138.946,Central Europe,Central_Europe,Early
0.592,0.317,2,-7.941,1,0.0489,0.598,0,0.107,0.789,123.725,4,161960,1956,Italy,Italy,Tonina Torielli,1956 Italy A,1950,0.592 0.317 2 -7.941 1 0.0489 0.598 0 0.107 0.789 123.725,Southern Europe,Southern,Early
0.363,0.229,5,-9.546,1,0.0423,0.982,5.27E-06,0.0836,0.267,85.89,4,192720,1956,Italy,Italy,Franca Raimondi,1956 Italy B,1950,0.363 0.229 5 -9.546 1 0.0423 0.982 5.27e-06 0.0836 0.267 85.89,Southern Europe,Southern,Early
0.684,0.452,3,-10.719,0,0.0492,0.735,0,0.287,0.868,138.384,4,113866,1956,Luxembourg,,Mich<e8>le Arnaud,1956 Luxembourg A,1950,0.684 0.452 3 -10.719 0 0.0492 0.735 0 0.287 0.868 138.384,Western Europe,Western_Europe_Australia,Early
0.39,0.23,11,-9.543,1,0.0396,0.948,2.21E-06,0.0722,0.169,96.541,4,157074,1956,Luxembourg,Luxembourg,Mich<e8>le Arnaud,1956 Luxembourg B,1950,0.39 0.23 11 -9.543 1 0.0396 0.948 2.21e-06 0.0722 0.169 96.541,Western Europe,Western_Europe_Australia,Early
