Year,Country,Language
1956,Netherlands A,Dutch
1956,Switzerland A,German
1956,Belgium A,French
1956,Germany A,German
1956,France A,French
1956,Luxembourg A,French
1956,Italy A,Italian
1956,Netherlands B,Dutch
1956,Switzerland B,French
1956,Belgium B,French
1956,Germany B,German
1956,France B,French
1956,Luxembourg B,French
1956,Italy B,Italian
1957,Belgium,Dutch
1957,Luxembourg,French
1957,United Kingdom,English
1957,Italy,Italian
1957,Austria,German
1957,Netherlands,Dutch
1957,Germany,German
1957,France,French
1957,Denmark,Danish
1957,Switzerland,French
1958,Italy,Italian
1958,Netherlands,Dutch
1958,France,French
1958,Luxembourg,French
1958,Sweden,Swedish
1958,Denmark,Danish
1958,Belgium,French
1958,Germany,German
1958,Austria,German
1958,Switzerland,"German, Italian"
1959,France,French
1959,Denmark,Danish
1959,Italy,Italian
1959,Monaco,French
1959,Netherlands,Dutch
1959,Germany,German
1959,Sweden,Swedish
1959,Switzerland,German
1959,Austria,German
1959,United Kingdom,English
1959,Belgium,Dutch
1960,United Kingdom,English
1960,Sweden,Swedish
1960,Luxembourg,Luxembourgish
1960,Denmark,Danish
1960,Belgium,French
1960,Norway,Norwegian
1960,Austria,German
1960,Monaco,French
1960,Switzerland,Italian
1960,Netherlands,Dutch
1960,Germany,German
1960,Italy,Italian
1960,France,French
1961,Spain,Spanish
1961,Monaco,French
1961,Austria,German
1961,Finland,Finnish
1961,Yugoslavia,Serbo-Croatian
1961,Netherlands,Dutch
1961,Sweden,Swedish
1961,Germany,"German, French"
1961,France,French
1961,Switzerland,French
1961,Belgium,Dutch
1961,Norway,Norwegian
1961,Denmark,Danish
1961,Luxembourg,French
1961,United Kingdom,English
1961,Italy,Italian
1962,Finland,Finnish
1962,Belgium,French
1962,Spain,Spanish
1962,Austria,German
1962,Denmark,Danish
1962,Sweden,Swedish
1962,Germany,German
1962,Netherlands,Dutch
1962,France,French
1962,Norway,Norwegian
1962,Switzerland,French
1962,Yugoslavia,Serbo-Croatian
1962,United Kingdom,English
1962,Luxembourg,French
1962,Italy,Italian
1962,Monaco,French
1963,United Kingdom,English
1963,Netherlands,Dutch
1963,Germany,German
1963,Austria,"German, English"
1963,Norway,Norwegian
1963,Italy,Italian
1963,Finland,Finnish
1963,Denmark,Danish
1963,Yugoslavia,Serbo-Croatian
1963,Switzerland,French
1963,France,French
1963,Spain,Spanish
1963,Sweden,Swedish
1963,Belgium,Dutch
1963,Monaco,French
1963,Luxembourg,French
1964,Luxembourg,French
1964,Netherlands,Dutch
1964,Norway,Norwegian
1964,Denmark,Danish
1964,Finland,Finnish
1964,Austria,German
1964,France,French
1964,United Kingdom,English
1964,Germany,German
1964,Monaco,French
1964,Portugal,Portuguese
1964,Italy,Italian
1964,Yugoslavia,Serbo-Croatian
1964,Switzerland,Italian
1964,Belgium,French
1964,Spain,Spanish
1965,Netherlands,Dutch
1965,United Kingdom,English
1965,Spain,Spanish
1965,Ireland,English
1965,Germany,German
1965,Austria,German
1965,Norway,Norwegian
1965,Belgium,Dutch
1965,Monaco,French
1965,Sweden,English
1965,France,French
1965,Portugal,Portuguese
1965,Italy,Italian
1965,Denmark,Danish
1965,Luxembourg,French
1965,Finland,Finnish
1965,Yugoslavia,Serbo-Croatian
1965,Switzerland,French
1966,Germany,German
1966,Denmark,Danish
1966,Belgium,French
1966,Luxembourg,French
1966,Yugoslavia,Slovene
1966,Norway,Norwegian
1966,Finland,Finnish
1966,Portugal,Portuguese
1966,Austria,German[b]
1966,Sweden,Swedish
1966,Spain,Spanish
1966,Switzerland,French
1966,Monaco,French
1966,Italy,Italian
1966,France,French
1966,Netherlands,Dutch
1966,Ireland,English
1966,United Kingdom,English
1967,Netherlands,Dutch
1967,Luxembourg,French
1967,Austria,German
1967,France,French
1967,Portugal,Portuguese
1967,Switzerland,French
1967,Sweden,Swedish
1967,Finland,Finnish
1967,Germany,German
1967,Belgium,Dutch
1967,United Kingdom,English
1967,Spain,Spanish
1967,Norway,Norwegian
1967,Monaco,French
1967,Yugoslavia,Slovene
1967,Italy,Italian
1967,Ireland,English
1968,Portugal,Portuguese
1968,Netherlands,Dutch
1968,Belgium,French
1968,Austria,German
1968,Luxembourg,French
1968,Switzerland,Italian
1968,Monaco,French
1968,Sweden,Swedish
1968,Finland,Finnish
1968,France,French
1968,Italy,Italian
1968,United Kingdom,English
1968,Norway,Norwegian
1968,Ireland,English
1968,Spain,Spanish
1968,Germany,German
1968,Yugoslavia,Serbo-Croatian
1969,Yugoslavia,Serbo-Croatian
1969,Luxembourg,French
1969,Spain,Spanish
1969,Monaco,French
1969,Ireland,English
1969,Italy,Italian
1969,United Kingdom,English
1969,Netherlands,Dutch
1969,Sweden,Swedish
1969,Belgium,Dutch
1969,Switzerland,German
1969,Norway,Norwegian
1969,Germany,German
1969,France,French
1969,Portugal,Portuguese
1969,Finland,Finnish
1970,Netherlands,Dutch
1970,Switzerland,French
1970,Italy,Italian
1970,Yugoslavia,Slovene
1970,Belgium,French
1970,France,French
1970,United Kingdom,English
1970,Luxembourg,French
1970,Spain,Spanish
1970,Monaco,French
1970,Germany,German
1970,Ireland,English
1971,Austria,Viennese
1971,Malta,Maltese
1971,Monaco,French
1971,Switzerland,French
1971,Germany,German
1971,Spain,Spanish
1971,France,French
1971,Luxembourg,French
1971,United Kingdom,English
1971,Belgium,Dutch
1971,Italy,Italian
1971,Sweden,Swedish
1971,Ireland,English
1971,Netherlands,Dutch
1971,Portugal,Portuguese
1971,Yugoslavia,Serbo-Croatian
1971,Finland,Finnish
1971,Norway,Norwegian
1972,Germany,German
1972,France,French
1972,Ireland,Irish
1972,Spain,Spanish
1972,United Kingdom,English
1972,Norway,Norwegian
1972,Portugal,Portuguese
1972,Switzerland,French
1972,Malta,Maltese
1972,Finland,Finnish
1972,Austria,German
1972,Italy,Italian
1972,Yugoslavia,Serbo-Croatian
1972,Sweden,Swedish
1972,Monaco,French
1972,Belgium,French
1972,Luxembourg,French
1972,Netherlands,Dutch
1973,Finland,English
1973,Belgium,Dutch[b][c][d]
1973,Portugal,Portuguese
1973,Germany,German
1973,Norway,"English, French[d][e][f][g][h][i][j][k][l][m]"
1973,Monaco,French
1973,Spain,Spanish
1973,Switzerland,French
1973,Yugoslavia,Serbo-Croatian
1973,Italy,Italian
1973,Luxembourg,French
1973,Sweden,English
1973,Netherlands,Dutch
1973,Ireland,English
1973,United Kingdom,English
1973,France,French
1973,Israel,Hebrew
1974,Finland,English
1974,United Kingdom,English
1974,Spain,Spanish
1974,Norway,English
1974,Greece,Greek
1974,Israel,Hebrew
1974,Yugoslavia,Serbo-Croatian
1974,Sweden,English
1974,Luxembourg,French[c]
1974,Monaco,French
1974,Belgium,French
1974,Netherlands,English
1974,Ireland,English
1974,Germany,German
1974,Switzerland,German
1974,Portugal,Portuguese
1974,Italy,Italian
1975,Netherlands,English
1975,Ireland,English
1975,France,French
1975,Germany,"German, English"
1975,Luxembourg,French
1975,Norway,English
1975,Switzerland,German
1975,Yugoslavia,Slovene
1975,United Kingdom,English
1975,Malta,English
1975,Belgium,"Dutch, English"
1975,Israel,Hebrew
1975,Turkey,Turkish
1975,Monaco,French
1975,Finland,English
1975,Portugal,Portuguese
1975,Spain,Spanish
1975,Sweden,English
1975,Italy,Italian
1976,United Kingdom,English
1976,Switzerland,English
1976,Germany,German
1976,Israel,Hebrew
1976,Luxembourg,French
1976,Belgium,French
1976,Ireland,English
1976,Netherlands,English
1976,Norway,English
1976,Greece,Greek
1976,Finland,English
1976,Spain,Spanish
1976,Italy,"English, Italian"
1976,Austria,English
1976,Portugal,Portuguese
1976,Monaco,French
1976,France,French
1976,Yugoslavia,Serbo-Croatian
1977,Ireland,English
1977,Monaco,French
1977,Netherlands,Dutch
1977,Austria,German[c]
1977,Norway,Norwegian
1977,Germany,English
1977,Luxembourg,French
1977,Portugal,Portuguese
1977,United Kingdom,English
1977,Greece,Greek
1977,Israel,Hebrew
1977,Switzerland,German
1977,Sweden,Swedish
1977,Spain,Spanish
1977,Italy,Italian
1977,Finland,Finnish
1977,Belgium,English
1977,France,French
1978,Ireland,English
1978,Norway,Norwegian
1978,Italy,Italian
1978,Finland,Finnish
1978,Portugal,Portuguese
1978,France,French
1978,Spain,Spanish[b]
1978,United Kingdom,English
1978,Switzerland,French
1978,Belgium,French
1978,Netherlands,Dutch
1978,Turkey,Turkish
1978,Germany,German
1978,Monaco,French
1978,Greece,Greek
1978,Denmark,Danish
1978,Luxembourg,French
1978,Israel,Hebrew
1978,Austria,German[c]
1978,Sweden,Swedish
1979,Portugal,Portuguese
1979,Italy,Italian
1979,Denmark,Danish
1979,Ireland,English
1979,Finland,Finnish
1979,Monaco,French
1979,Greece,Greek
1979,Switzerland,German
1979,Germany,German
1979,Israel,Hebrew
1979,France,French
1979,Belgium,Dutch
1979,Luxembourg,French
1979,Netherlands,Dutch
1979,Sweden,Swedish
1979,Norway,Norwegian
1979,United Kingdom,English
1979,Austria,German
1979,Spain,Spanish
1980,Austria,German
1980,Turkey,Turkish
1980,Greece,Greek
1980,Luxembourg,French
1980,Morocco,Arabic
1980,Italy,Italian
1980,Denmark,Danish
1980,Sweden,Swedish
1980,Switzerland,French
1980,Finland,Finnish
1980,Norway,Norwegian
1980,Germany,German
1980,United Kingdom,English
1980,Portugal,Portuguese
1980,Netherlands,Dutch
1980,France,French
1980,Ireland,English
1980,Spain,Spanish
1980,Belgium,French
1981,Austria,German
1981,Turkey,Turkish
1981,Germany,German
1981,Luxembourg,French
1981,Israel,Hebrew
1981,Denmark,Danish
1981,Yugoslavia,Serbo-Croatian
1981,Finland,Finnish
1981,France,French
1981,Spain,Spanish
1981,Netherlands,Dutch
1981,Ireland,English
1981,Norway,Norwegian
1981,United Kingdom,English
1981,Portugal,Portuguese
1981,Belgium,Dutch
1981,Greece,Greek
1981,Cyprus,Greek
1981,Switzerland,Italian
1981,Sweden,Swedish
1982,Portugal,Portuguese
1982,Luxembourg,French
1982,Norway,Norwegian
1982,United Kingdom,English
1982,Turkey,Turkish
1982,Finland,Finnish
1982,Switzerland,French
1982,Cyprus,Greek
1982,Sweden,Swedish
1982,Austria,German
1982,Belgium,French
1982,Spain,Spanish
1982,Denmark,Danish
1982,Yugoslavia,Serbo-Croatian
1982,Israel,Hebrew
1982,Netherlands,Dutch
1982,Ireland,English
1982,Germany,German
1983,France,French
1983,Norway,Norwegian
1983,United Kingdom,English
1983,Sweden,Swedish
1983,Italy,Italian
1983,Turkey,Turkish
1983,Spain,Spanish
1983,Switzerland,Italian
1983,Finland,Finnish
1983,Greece,Greek
1983,Netherlands,Dutch[c]
1983,Yugoslavia,Serbo-Croatian
1983,Cyprus,Greek
1983,Germany,German
1983,Denmark,Danish
1983,Israel,Hebrew
1983,Portugal,Portuguese
1983,Austria,German
1983,Belgium,Dutch
1983,Luxembourg,French
1984,Sweden,Swedish
1984,Luxembourg,French
1984,France,French
1984,Spain,Spanish[c]
1984,Norway,Norwegian
1984,United Kingdom,English
1984,Cyprus,Greek
1984,Belgium,French[e]
1984,Ireland,English
1984,Denmark,Danish
1984,Netherlands,Dutch
1984,Yugoslavia,Serbo-Croatian
1984,Austria,German
1984,Germany,German
1984,Turkey,Turkish
1984,Finland,Finnish
1984,Switzerland,German
1984,Italy,Italian[g]
1984,Portugal,Portuguese
1985,Ireland,English
1985,Finland,Finnish
1985,Cyprus,Greek
1985,Denmark,Danish
1985,Spain,Spanish
1985,France,French
1985,Turkey,Turkish
1985,Belgium,Dutch
1985,Portugal,Portuguese
1985,Germany,German
1985,Israel,Hebrew
1985,Italy,Italian
1985,Norway,Norwegian
1985,United Kingdom,English
1985,Switzerland,German
1985,Sweden,Swedish
1985,Austria,German
1985,Luxembourg,French
1985,Greece,Greek
1986,Luxembourg,French
1986,Yugoslavia,Serbo-Croatian
1986,France,French
1986,Norway,Norwegian
1986,United Kingdom,English
1986,Iceland,Icelandic
1986,Netherlands,Dutch
1986,Turkey,Turkish[b][c][e]
1986,Spain,Spanish
1986,Switzerland,French
1986,Israel,Hebrew
1986,Ireland,English
1986,Belgium,French
1986,Germany,German
1986,Cyprus,Greek
1986,Austria,German
1986,Sweden,Swedish
1986,Denmark,Danish
1986,Finland,Finnish
1986,Portugal,Portuguese
1987,Norway,Norwegian
1987,Israel,Hebrew
1987,Austria,German
1987,Iceland,Icelandic
1987,Belgium,Dutch[c]
1987,Sweden,Swedish
1987,Italy,Italian
1987,Portugal,Portuguese
1987,Spain,Spanish
1987,Turkey,Turkish
1987,Greece,Greek
1987,Netherlands,Dutch
1987,Luxembourg,French
1987,United Kingdom,English
1987,France,French
1987,Germany,German
1987,Cyprus,Greek
1987,Finland,Finnish
1987,Denmark,Danish
1987,Ireland,English
1987,Yugoslavia,Serbo-Croatian[c]
1987,Switzerland,French
1988,Iceland,Icelandic
1988,Sweden,Swedish
1988,Finland,Finnish
1988,United Kingdom,English
1988,Turkey,Turkish
1988,Spain,Spanish
1988,Netherlands,Dutch
1988,Israel,Hebrew
1988,Switzerland,French
1988,Ireland,English
1988,Germany,German
1988,Austria,German
1988,Denmark,Danish
1988,Greece,Greek
1988,Norway,Norwegian
1988,Belgium,French
1988,Luxembourg,French
1988,Italy,Italian
1988,France,French
1988,Portugal,Portuguese
1988,Yugoslavia,Serbo-Croatian
1989,Italy,Italian
1989,Israel,Hebrew
1989,Ireland,English
1989,Netherlands,Dutch
1989,Turkey,Turkish
1989,Belgium,Dutch
1989,United Kingdom,English
